,movie,year,content_rating,genre,runtime_min,imdb_rating,metascore,votes
11069,Evangerion shin gekijôban: Ha,(2009),,"['Animation', ' Action', ' Drama']",112,7.9,45,22083
11070,Dhoom:3,(2013),6,"['Action', ' Crime', ' Drama']",172,5.3,61,46757
11071,Nana,(II) (2022),,"['Drama', ' History']",103,6.7,75,296
11072,Waiting for Anya,(2020),,"['Drama', ' Thriller', ' War']",109,6.0,38,1542
11073,The Mercy,(2018),6,"['Adventure', ' Biography', ' Drama']",112,6.0,60,8762
11074,Lucy and Desi,(2022),13+,"['Documentary', ' Biography', ' Comedy']",103,7.8,73,2516
11075,Out in the Dark,(2012),12,"['Crime', ' Drama', ' Romance']",96,7.5,69,8627
11076,The Stranger,(1946),,"['Crime', ' Drama', ' Film-Noir']",95,7.3,76,26870
11077,Killers Anonymous,(2019),R,"['Action', ' Crime', ' Mystery']",95,4.4,22,11641
11078,Evangerion shin gekijôban: Ha,(2009),,"['Animation', ' Action', ' Drama']",112,7.9,45,22083
11079,Dhoom:3,(2013),6,"['Action', ' Crime', ' Drama']",172,5.3,61,46757
11080,Nana,(II) (2022),,"['Drama', ' History']",103,6.7,75,296
11081,Waiting for Anya,(2020),,"['Drama', ' Thriller', ' War']",109,6.0,38,1542
11082,The Mercy,(2018),6,"['Adventure', ' Biography', ' Drama']",112,6.0,60,8762
11083,Lucy and Desi,(2022),13+,"['Documentary', ' Biography', ' Comedy']",103,7.8,73,2516
11084,Out in the Dark,(2012),12,"['Crime', ' Drama', ' Romance']",96,7.5,69,8627
11085,The Stranger,(1946),,"['Crime', ' Drama', ' Film-Noir']",95,7.3,76,26870
11086,Killers Anonymous,(2019),R,"['Action', ' Crime', ' Mystery']",95,4.4,22,11641
11087,Evangerion shin gekijôban: Ha,(2009),,"['Animation', ' Action', ' Drama']",112,7.9,45,22083
11088,Dhoom:3,(2013),6,"['Action', ' Crime', ' Drama']",172,5.3,61,46757
11089,Nana,(II) (2022),,"['Drama', ' History']",103,6.7,75,296
11090,Waiting for Anya,(2020),,"['Drama', ' Thriller', ' War']",109,6.0,38,1542
11091,The Mercy,(2018),6,"['Adventure', ' Biography', ' Drama']",112,6.0,60,8762
11092,Lucy and Desi,(2022),13+,"['Documentary', ' Biography', ' Comedy']",103,7.8,73,2516
11093,Out in the Dark,(2012),12,"['Crime', ' Drama', ' Romance']",96,7.5,69,8627
11094,The Stranger,(1946),,"['Crime', ' Drama', ' Film-Noir']",95,7.3,76,26870
11095,Killers Anonymous,(2019),R,"['Action', ' Crime', ' Mystery']",95,4.4,22,11641
11096,Evangerion shin gekijôban: Ha,(2009),,"['Animation', ' Action', ' Drama']",112,7.9,45,22083
11097,Dhoom:3,(2013),6,"['Action', ' Crime', ' Drama']",172,5.3,61,46757
11098,Nana,(II) (2022),,"['Drama', ' History']",103,6.7,75,296
11099,Evangelion Shin Gekijôban: Kyu,(2012),,"['Animation', ' Action', ' Drama']",96,6.9,45,15912
11100,Waiting for Anya,(2020),,"['Drama', ' Thriller', ' War']",109,6.0,38,1542
11101,The Mercy,(2018),6,"['Adventure', ' Biography', ' Drama']",112,6.0,60,8762
11102,Lucy and Desi,(2022),13+,"['Documentary', ' Biography', ' Comedy']",103,7.8,73,2516
11103,Out in the Dark,(2012),12,"['Crime', ' Drama', ' Romance']",96,7.5,69,8627
11104,The Stranger,(1946),,"['Crime', ' Drama', ' Film-Noir']",95,7.3,76,26870
11105,Killers Anonymous,(2019),R,"['Action', ' Crime', ' Mystery']",95,4.4,22,11641
11106,Evangerion shin gekijôban: Ha,(2009),,"['Animation', ' Action', ' Drama']",112,7.9,45,22083
11107,Dhoom:3,(2013),6,"['Action', ' Crime', ' Drama']",172,5.3,61,46757
11108,Nana,(II) (2022),,"['Drama', ' History']",103,6.7,75,296
11109,Evangelion Shin Gekijôban: Kyu,(2012),,"['Animation', ' Action', ' Drama']",96,6.9,45,15912
11110,The Mercy,(2018),6,"['Adventure', ' Biography', ' Drama']",112,6.0,60,8762
11111,Lucy and Desi,(2022),13+,"['Documentary', ' Biography', ' Comedy']",103,7.8,73,2516
11112,Out in the Dark,(2012),12,"['Crime', ' Drama', ' Romance']",96,7.5,69,8627
11113,The Stranger,(1946),,"['Crime', ' Drama', ' Film-Noir']",95,7.3,76,26870
11114,Killers Anonymous,(2019),R,"['Action', ' Crime', ' Mystery']",95,4.4,22,11641
11115,Evangerion shin gekijôban: Ha,(2009),,"['Animation', ' Action', ' Drama']",112,7.9,45,22083
11116,Dhoom:3,(2013),6,"['Action', ' Crime', ' Drama']",172,5.3,61,46757
11117,Nana,(II) (2022),,"['Drama', ' History']",103,6.7,75,296
11118,Evangelion Shin Gekijôban: Kyu,(2012),,"['Animation', ' Action', ' Drama']",96,6.9,45,15912
11119,The Mercy,(2018),6,"['Adventure', ' Biography', ' Drama']",112,6.0,60,8762
11120,Lucy and Desi,(2022),13+,"['Documentary', ' Biography', ' Comedy']",103,7.8,73,2516
11121,Out in the Dark,(2012),12,"['Crime', ' Drama', ' Romance']",96,7.5,69,8627
11122,The Stranger,(1946),,"['Crime', ' Drama', ' Film-Noir']",95,7.3,76,26870
11123,Killers Anonymous,(2019),R,"['Action', ' Crime', ' Mystery']",95,4.4,22,11641
11124,Evangerion shin gekijôban: Ha,(2009),,"['Animation', ' Action', ' Drama']",112,7.9,45,22083
11125,Dhoom:3,(2013),6,"['Action', ' Crime', ' Drama']",172,5.3,61,46757
11126,Nana,(II) (2022),,"['Drama', ' History']",103,6.7,75,296
11127,Evangelion Shin Gekijôban: Kyu,(2012),,"['Animation', ' Action', ' Drama']",96,6.9,45,15912
11128,The Mercy,(2018),6,"['Adventure', ' Biography', ' Drama']",112,6.0,60,8762
11129,Lucy and Desi,(2022),13+,"['Documentary', ' Biography', ' Comedy']",103,7.8,73,2516
11130,Out in the Dark,(2012),12,"['Crime', ' Drama', ' Romance']",96,7.5,69,8627
11131,The Stranger,(1946),,"['Crime', ' Drama', ' Film-Noir']",95,7.3,76,26870
11132,Killers Anonymous,(2019),R,"['Action', ' Crime', ' Mystery']",95,4.4,22,11641
11133,Evangerion shin gekijôban: Ha,(2009),,"['Animation', ' Action', ' Drama']",112,7.9,45,22083
11134,Dhoom:3,(2013),6,"['Action', ' Crime', ' Drama']",172,5.3,61,46757
11135,Nana,(II) (2022),,"['Drama', ' History']",103,6.7,75,296
11136,Evangelion Shin Gekijôban: Kyu,(2012),,"['Animation', ' Action', ' Drama']",96,6.9,45,15912
11137,Lucy and Desi,(2022),13+,"['Documentary', ' Biography', ' Comedy']",103,7.8,73,2516
11138,Out in the Dark,(2012),12,"['Crime', ' Drama', ' Romance']",96,7.5,69,8627
11139,The Stranger,(1946),,"['Crime', ' Drama', ' Film-Noir']",95,7.3,76,26870
