,movie,year,content_rating,genre,duration_min,imdb_rating,metascore,votes
305,Flashdance,,R,"['Drama', ' Music', ' Romance']",95,6.2,39,54442
306,Hillbilly Elegy,,R,['Drama'],116,6.7,38,42714
307,Rampage,,PG-13,"['Action', ' Adventure', ' Sci-Fi']",107,6.1,45,169122
308,The Adventures of Sharkboy and Lavagirl 3-D,,PG,"['Action', ' Adventure', ' Comedy']",93,3.7,38,38508
309,The Dig,,PG-13,"['Biography', ' Drama', ' History']",112,7.1,73,75211
310,Bright,,TV-MA,"['Action', ' Fantasy', ' Thriller']",117,6.3,29,190192
311,A Jazzman's Blues,,R,['Drama'],127,6.7,63,2908
312,The Midnight Sky,,PG-13,"['Adventure', ' Drama', ' Sci-Fi']",118,5.6,58,83660
313,Homefront,,R,"['Action', ' Crime', ' Thriller']",100,6.5,40,121422
314,End of the Road,,R,"['Action', ' Crime', ' Drama']",89,4.7,44,6818
315,Copshop,,R,"['Action', ' Thriller']",107,6.2,61,31850
316,How to Train Your Dragon: The Hidden World,,PG,"['Animation', ' Action', ' Adventure']",104,7.4,71,129717
317,The Last Letter from Your Lover,,TV-MA,"['Drama', ' Romance']",110,6.7,57,18330
318,Hubie Halloween,,PG-13,"['Comedy', ' Mystery']",103,5.2,53,51584
319,Easy Rider,,R,"['Adventure', ' Drama']",95,7.3,85,110759
320,1922,,TV-MA,"['Crime', ' Drama', ' Horror']",102,6.2,70,64453
321,Better Watch Out,,R,"['Comedy', ' Horror', ' Thriller']",89,6.5,67,39141
322,Escape Room: Tournament of Champions,,PG-13,"['Action', ' Adventure', ' Horror']",88,5.7,48,45844
323,Desperado,,R,"['Action', ' Crime', ' Thriller']",104,7.1,55,187173
324,Locke,,R,['Drama'],85,7.1,81,151045
325,The Lucky One,,PG-13,"['Drama', ' Mystery', ' Romance']",101,6.4,39,109320
326,Malcolm X,,PG-13,"['Biography', ' Drama', ' History']",202,7.7,73,95367
327,The Highwaymen,,R,"['Biography', ' Crime', ' Drama']",132,6.9,58,92119
328,Escape Plan,,R,"['Action', ' Thriller']",115,6.7,49,244363
329,The Meyerowitz Stories,,TV-MA,"['Comedy', ' Drama']",112,6.9,79,49785
330,Windfall,,R,"['Crime', ' Drama', ' Thriller']",92,5.7,52,23349
331,Despicable Me 2,,PG,"['Animation', ' Adventure', ' Comedy']",98,7.3,62,401543
