,movie,year,content_rating,genre,duration_min,imdb_rating,metascore,votes
564,High Crimes,,PG-13,"['Crime', ' Drama', ' Mystery']",115,6.3,48,43912
565,Mr. Popper's Penguins,,PG,"['Comedy', ' Family', ' Fantasy']",94,6,53,98285
566,Muppet Treasure Island,,G,"['Action', ' Adventure', ' Comedy']",99,6.9,64,24610
567,A Walk in the Clouds,,PG-13,"['Drama', ' Romance']",102,6.7,54,34611
568,The Rookie,,G,"['Drama', ' Family', ' Sport']",127,6.9,72,35243
569,Phenomenon,,PG,"['Drama', ' Fantasy', ' Romance']",123,6.4,41,80375
570,Trance,,R,"['Crime', ' Drama', ' Mystery']",101,6.9,61,114636
571,Brokedown Palace,,PG-13,"['Drama', ' Mystery', ' Thriller']",100,6.4,44,23002
572,Muppets Most Wanted,,PG,"['Adventure', ' Comedy', ' Crime']",107,6.4,61,35004
573,Roll Bounce,,PG-13,"['Comedy', ' Drama', ' Music']",112,6.2,59,7457
574,In Her Shoes,,PG-13,"['Comedy', ' Drama', ' Romance']",130,6.5,60,62815
575,Choke,,R,"['Comedy', ' Drama']",92,6.4,47,32785
576,Old Yeller,,Approved,"['Adventure', ' Drama', ' Family']",83,7.3,84,13917
577,Oklahoma!,,G,"['Comedy', ' Drama', ' Musical']",145,7,74,13049
578,An Affair to Remember,,Not Rated,"['Drama', ' Romance']",115,7.4,71,30886
579,Ice Princess,,G,"['Comedy', ' Drama', ' Family']",98,6,55,27521
580,Love & Friendship,,PG,"['Comedy', ' Drama', ' Romance']",90,6.4,87,25239
581,Mr. Holmes,,PG,"['Drama', ' Mystery']",104,6.8,67,65097
582,Snow Dogs,,PG,"['Adventure', ' Comedy', ' Family']",99,5.2,29,27292
583,Raising Helen,,PG-13,"['Comedy', ' Drama', ' Romance']",119,6,38,37254
584,Babylon A.D.,,PG-13,"['Action', ' Adventure', ' Sci-Fi']",90,5.5,26,96293
585,Lucy in the Sky,,R,"['Drama', ' Romance', ' Sci-Fi']",124,4.9,36,8059
586,She's the One,,R,"['Comedy', ' Drama', ' Romance']",96,6,53,17799
587,Home on the Range,,PG,"['Animation', ' Adventure', ' Comedy']",76,5.4,50,23604
588,The Man with One Red Shoe,,PG,"['Comedy', ' Thriller']",92,5.7,31,16203
589,The Big Year,,PG,['Comedy'],100,6.2,53,45788
590,Parental Guidance,,PG,"['Comedy', ' Family']",105,6,36,26096
591,Pollyanna,,Approved,"['Comedy', ' Drama', ' Family']",134,7.4,66,10526
592,Calendar Girls,,PG-13,"['Comedy', ' Drama']",108,6.9,60,26761
593,The Lunchbox,,PG,"['Drama', ' Romance']",104,7.8,76,56766
594,I Give It a Year,,R,"['Comedy', ' Romance']",97,5.7,50,37678
595,Goodbye Christopher Robin,,PG,"['Biography', ' Drama', ' Family']",107,7.1,54,27879
596,Diary of a Wimpy Kid: The Long Haul,,PG,"['Adventure', ' Comedy', ' Family']",91,4.3,39,9440
597,Stuck on You,,PG-13,['Comedy'],118,5.8,62,53616
598,My Super Ex-Girlfriend,,PG-13,"['Comedy', ' Romance', ' Sci-Fi']",96,5.2,50,64907
599,How Stella Got Her Groove Back,,R,"['Comedy', ' Drama', ' Romance']",124,5.7,56,7744
