,movie,year,content_rating,genre,runtime_min,imdb_rating,metascore,votes
34614,Prom,(2011),PG,"['Comedy', ' Drama', ' Family']",104,5.4,50,15397
34615,Rebound,(2005),PG,"['Comedy', ' Family', ' Sport']",86,5.1,36,13174
34616,A Good Woman,(2004),PG,"['Drama', ' Comedy', ' Romance']",93,6.5,53,13514
34617,Wendy,(2020),PG-13,"['Drama', ' Fantasy']",111,5.7,55,3486
34618,Aftershock,(2022),TV-MA,['Documentary'],86,6.5,87,227
34619,Tin Men,(1987),R,"['Comedy', ' Drama']",112,6.6,75,9174
34620,Phineas and Ferb the Movie: Candace Against the Universe,(2020),TV-G,"['Animation', ' Adventure', ' Comedy']",86,7.1,77,4657
34621,Black Is King,(2020),TV-14,"['Adventure', ' Drama', ' Fantasy']",85,5.8,84,8958
34622,Duets,(2000),R,"['Comedy', ' Drama', ' Music']",112,6.1,40,9701
34623,The Tigger Movie,(2000),G,"['Animation', ' Adventure', ' Comedy']",77,6.3,53,19218
34624,The Shaggy Dog,(1959),Approved,"['Comedy', ' Family', ' Fantasy']",104,6.4,45,5183
34625,Prom,(2011),PG,"['Comedy', ' Drama', ' Family']",104,5.4,50,15397
34626,Rebound,(2005),PG,"['Comedy', ' Family', ' Sport']",86,5.1,36,13174
34627,A Good Woman,(2004),PG,"['Drama', ' Comedy', ' Romance']",93,6.5,53,13514
34628,Wendy,(2020),PG-13,"['Drama', ' Fantasy']",111,5.7,55,3486
34629,Aftershock,(2022),TV-MA,['Documentary'],86,6.5,87,227
34630,Tin Men,(1987),R,"['Comedy', ' Drama']",112,6.6,75,9174
34631,Phineas and Ferb the Movie: Candace Against the Universe,(2020),TV-G,"['Animation', ' Adventure', ' Comedy']",86,7.1,77,4657
34632,Black Is King,(2020),TV-14,"['Adventure', ' Drama', ' Fantasy']",85,5.8,84,8958
34633,Duets,(2000),R,"['Comedy', ' Drama', ' Music']",112,6.1,40,9701
34634,The Tigger Movie,(2000),G,"['Animation', ' Adventure', ' Comedy']",77,6.3,53,19218
34635,The Shaggy Dog,(1959),Approved,"['Comedy', ' Family', ' Fantasy']",104,6.4,45,5183
34636,Prom,(2011),PG,"['Comedy', ' Drama', ' Family']",104,5.4,50,15397
34637,Rebound,(2005),PG,"['Comedy', ' Family', ' Sport']",86,5.1,36,13174
34638,A Good Woman,(2004),PG,"['Drama', ' Comedy', ' Romance']",93,6.5,53,13514
34639,Wendy,(2020),PG-13,"['Drama', ' Fantasy']",111,5.7,55,3486
34640,Aftershock,(2022),TV-MA,['Documentary'],86,6.5,87,227
34641,Tin Men,(1987),R,"['Comedy', ' Drama']",112,6.6,75,9174
34642,Phineas and Ferb the Movie: Candace Against the Universe,(2020),TV-G,"['Animation', ' Adventure', ' Comedy']",86,7.1,77,4657
34643,Black Is King,(2020),TV-14,"['Adventure', ' Drama', ' Fantasy']",85,5.8,84,8958
34644,Candleshoe,(1977),G,"['Adventure', ' Comedy', ' Drama']",101,6.7,68,4531
34645,Duets,(2000),R,"['Comedy', ' Drama', ' Music']",112,6.1,40,9701
34646,The Tigger Movie,(2000),G,"['Animation', ' Adventure', ' Comedy']",77,6.3,53,19218
34647,The Shaggy Dog,(1959),Approved,"['Comedy', ' Family', ' Fantasy']",104,6.4,45,5183
34648,Prom,(2011),PG,"['Comedy', ' Drama', ' Family']",104,5.4,50,15397
34649,Rebound,(2005),PG,"['Comedy', ' Family', ' Sport']",86,5.1,36,13174
34650,A Good Woman,(2004),PG,"['Drama', ' Comedy', ' Romance']",93,6.5,53,13514
34651,Wendy,(2020),PG-13,"['Drama', ' Fantasy']",111,5.7,55,3486
34652,Aftershock,(2022),TV-MA,['Documentary'],86,6.5,87,227
34653,Tin Men,(1987),R,"['Comedy', ' Drama']",112,6.6,75,9174
34654,Phineas and Ferb the Movie: Candace Against the Universe,(2020),TV-G,"['Animation', ' Adventure', ' Comedy']",86,7.1,77,4657
34655,Black Is King,(2020),TV-14,"['Adventure', ' Drama', ' Fantasy']",85,5.8,84,8958
34656,Candleshoe,(1977),G,"['Adventure', ' Comedy', ' Drama']",101,6.7,68,4531
34657,Duets,(2000),R,"['Comedy', ' Drama', ' Music']",112,6.1,40,9701
34658,The Tigger Movie,(2000),G,"['Animation', ' Adventure', ' Comedy']",77,6.3,53,19218
34659,The Shaggy Dog,(1959),Approved,"['Comedy', ' Family', ' Fantasy']",104,6.4,45,5183
34660,Prom,(2011),PG,"['Comedy', ' Drama', ' Family']",104,5.4,50,15397
34661,Rebound,(2005),PG,"['Comedy', ' Family', ' Sport']",86,5.1,36,13174
34662,A Good Woman,(2004),PG,"['Drama', ' Comedy', ' Romance']",93,6.5,53,13514
34663,Wendy,(2020),PG-13,"['Drama', ' Fantasy']",111,5.7,55,3486
34664,Aftershock,(2022),TV-MA,['Documentary'],86,6.5,87,227
34665,Tin Men,(1987),R,"['Comedy', ' Drama']",112,6.6,75,9174
34666,Phineas and Ferb the Movie: Candace Against the Universe,(2020),TV-G,"['Animation', ' Adventure', ' Comedy']",86,7.1,77,4657
34667,Black Is King,(2020),TV-14,"['Adventure', ' Drama', ' Fantasy']",85,5.8,84,8958
34668,Candleshoe,(1977),G,"['Adventure', ' Comedy', ' Drama']",101,6.7,68,4531
34669,Swallows and Amazons,(2016),Not Rated,"['Adventure', ' Drama', ' Family']",96,6.1,65,3251
34670,Duets,(2000),R,"['Comedy', ' Drama', ' Music']",112,6.1,40,9701
34671,The Tigger Movie,(2000),G,"['Animation', ' Adventure', ' Comedy']",77,6.3,53,19218
34672,The Shaggy Dog,(1959),Approved,"['Comedy', ' Family', ' Fantasy']",104,6.4,45,5183
34673,Prom,(2011),PG,"['Comedy', ' Drama', ' Family']",104,5.4,50,15397
34674,Rebound,(2005),PG,"['Comedy', ' Family', ' Sport']",86,5.1,36,13174
34675,A Good Woman,(2004),PG,"['Drama', ' Comedy', ' Romance']",93,6.5,53,13514
34676,Wendy,(2020),PG-13,"['Drama', ' Fantasy']",111,5.7,55,3486
34677,Aftershock,(2022),TV-MA,['Documentary'],86,6.5,87,227
34678,Tin Men,(1987),R,"['Comedy', ' Drama']",112,6.6,75,9174
34679,Phineas and Ferb the Movie: Candace Against the Universe,(2020),TV-G,"['Animation', ' Adventure', ' Comedy']",86,7.1,77,4657
34680,Black Is King,(2020),TV-14,"['Adventure', ' Drama', ' Fantasy']",85,5.8,84,8958
34681,Candleshoe,(1977),G,"['Adventure', ' Comedy', ' Drama']",101,6.7,68,4531
34682,Swallows and Amazons,(2016),Not Rated,"['Adventure', ' Drama', ' Family']",96,6.1,65,3251
34683,Duets,(2000),R,"['Comedy', ' Drama', ' Music']",112,6.1,40,9701
34684,The Tigger Movie,(2000),G,"['Animation', ' Adventure', ' Comedy']",77,6.3,53,19218
34685,The Shaggy Dog,(1959),Approved,"['Comedy', ' Family', ' Fantasy']",104,6.4,45,5183
34686,Prom,(2011),PG,"['Comedy', ' Drama', ' Family']",104,5.4,50,15397
34687,Rebound,(2005),PG,"['Comedy', ' Family', ' Sport']",86,5.1,36,13174
34688,A Good Woman,(2004),PG,"['Drama', ' Comedy', ' Romance']",93,6.5,53,13514
34689,Wendy,(2020),PG-13,"['Drama', ' Fantasy']",111,5.7,55,3486
34690,Aftershock,(2022),TV-MA,['Documentary'],86,6.5,87,227
34691,Tin Men,(1987),R,"['Comedy', ' Drama']",112,6.6,75,9174
34692,Phineas and Ferb the Movie: Candace Against the Universe,(2020),TV-G,"['Animation', ' Adventure', ' Comedy']",86,7.1,77,4657
34693,Black Is King,(2020),TV-14,"['Adventure', ' Drama', ' Fantasy']",85,5.8,84,8958
34694,Candleshoe,(1977),G,"['Adventure', ' Comedy', ' Drama']",101,6.7,68,4531
34695,Swallows and Amazons,(2016),Not Rated,"['Adventure', ' Drama', ' Family']",96,6.1,65,3251
34696,Duets,(2000),R,"['Comedy', ' Drama', ' Music']",112,6.1,40,9701
34697,The Tigger Movie,(2000),G,"['Animation', ' Adventure', ' Comedy']",77,6.3,53,19218
34698,The Shaggy Dog,(1959),Approved,"['Comedy', ' Family', ' Fantasy']",104,6.4,45,5183
34699,Prom,(2011),PG,"['Comedy', ' Drama', ' Family']",104,5.4,50,15397
34700,Rebound,(2005),PG,"['Comedy', ' Family', ' Sport']",86,5.1,36,13174
34701,A Good Woman,(2004),PG,"['Drama', ' Comedy', ' Romance']",93,6.5,53,13514
34702,Wendy,(2020),PG-13,"['Drama', ' Fantasy']",111,5.7,55,3486
34703,Aftershock,(2022),TV-MA,['Documentary'],86,6.5,87,227
34704,Tin Men,(1987),R,"['Comedy', ' Drama']",112,6.6,75,9174
34705,Phineas and Ferb the Movie: Candace Against the Universe,(2020),TV-G,"['Animation', ' Adventure', ' Comedy']",86,7.1,77,4657
34706,Black Is King,(2020),TV-14,"['Adventure', ' Drama', ' Fantasy']",85,5.8,84,8958
34707,Candleshoe,(1977),G,"['Adventure', ' Comedy', ' Drama']",101,6.7,68,4531
34708,Swallows and Amazons,(2016),Not Rated,"['Adventure', ' Drama', ' Family']",96,6.1,65,3251
34709,Duets,(2000),R,"['Comedy', ' Drama', ' Music']",112,6.1,40,9701
34710,The Tigger Movie,(2000),G,"['Animation', ' Adventure', ' Comedy']",77,6.3,53,19218
34711,The Shaggy Dog,(1959),Approved,"['Comedy', ' Family', ' Fantasy']",104,6.4,45,5183
34712,Prom,(2011),PG,"['Comedy', ' Drama', ' Family']",104,5.4,50,15397
34713,Rebound,(2005),PG,"['Comedy', ' Family', ' Sport']",86,5.1,36,13174
